shot_id1,player1,stroke_type1,spin_type1,shot_id2,player2,stroke_type2,spin_type2,dtw_distance
rafael_nadal_bh_ts2_10,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,76.31753473246371
rafael_nadal_bh_ts2_11,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,76.39937711958267
rafael_nadal_bh_ts2_15,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,76.63144023634293
rafael_nadal_bh_ts2_01,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,78.24528468165865
carlos_alcaraz_bh_ts2_12,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,80.73947472365484
rafael_nadal_bh_ts2_13,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,81.20226204017271
carlos_alcaraz_bh_ts2_10,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,81.96764603233115
carlos_alcaraz_bh_ts2_01,Carlos Alcaraz,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,83.36597861752391
rafael_nadal_bh_ts2_17,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,84.52110159162041
rafael_nadal_bh_ts2_16,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,84.90332148602538
rafael_nadal_bh_ts2_21,Rafael Nadal,Backhand 1H,Topspin,roger_federer_bh_ts1_06,Roger Federer,Backhand 1H,Topspin,87.87881977362122
